rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user focus and delay the primary conversion action.,The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user focus and delay the primary conversion action.,"h1: Wildly Comfortable. Super Natural.; cta: SHOP BESTSELLERS; notes: Single primary CTA to a neutral, high-intent collection; secondary links to Men/Women can be placed below.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN' | Hero copy: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' with no subhead visible in the crawl. | Hero section contains 'SHOP MEN' and 'SHOP WOMEN' CTAs, but no 'Shop All' CTA in the hero; 'Shop All' appears in nav but not as a hero CTA.","Funnel-Path & Commerce Clarity, Message Clarity, Nav & Distraction",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline and subhead are abstract and feature-led, failing to connect with the visitor's intent to find comfortable, sustainable shoes for their specific needs.","The hero headline and subhead are abstract and feature-led, failing to connect with the visitor's intent to find comfortable, sustainable shoes for their specific needs.","h1: Shoes That Feel Like Nothing Else; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Rewrite to speak to the visitor's desire for comfort and ease, and make the CTAs more specific to the product category.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subhead visible in the crawl.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,Missing H1 and description,HIGH,Homepage,Medium,2-5 days,5,10,no,traffic,"The Shop All page lacks an H1 and meta description, leaving visitors without clear orientation or SEO context, which can reduce trust and clarity.","The Shop All page lacks an H1 and meta description, leaving visitors without clear orientation or SEO context, which can reduce trust and clarity.",h1: Shop All Shoes & Apparel; cta: Filter & Sort; notes: Add a clear H1 that matches the page's purpose and a short description to improve clarity and SEO.,H1 count is 0 on /collections/shop-all-26; meta_description is null; body starts with 'SHOP ALL '26' as a title but no H1 tag.,Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_missing_h1_and_description.html
4,Single-field email capture,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage email capture form asks only for an email address, which is minimal and frictionless, but it lacks a clear value proposition or incentive, potentially reducing sign-up conversion.","The homepage email capture form asks only for an email address, which is minimal and frictionless, but it lacks a clear value proposition or incentive, potentially reducing sign-up conversion.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up for 10% Off; notes: Add a clear incentive (e.g., discount) and a brief value proposition to increase email sign-ups.","The homepage has a form with 1 input and submit button labeled 'Sign Up', with no accompanying text or incentive visible in the body sample.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_single_field_email_capture.html
5,No social proof,HIGH,Homepage,Medium,2-5 days,5,10,no,trust,"The hero lacks any review count or rating, so first-time visitors cannot immediately validate the brand's claims of comfort and sustainability.","The hero lacks any review count or rating, so first-time visitors cannot immediately validate the brand's claims of comfort and sustainability.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.7/5 by 50,000+ customers' or a star rating with review count.",Hero copy: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN'; no review stars or count visible in the hero section.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_no_social_proof.html
6,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ items with multiple nested categories, risking choice overload and decision paralysis for users.","The mega-menu presents 20+ items with multiple nested categories, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Simplify mega-menu to top 5-7 categories, use clear hierarchy, and consider progressive disclosure to reduce cognitive load.","nav_items list includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_mega_menu_choice_overload.html
7,Hero CTA ambiguity,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero CTAs 'SHOP MEN' and 'SHOP WOMEN' are gender-specific, potentially alienating non-binary or gender-neutral shoppers and lacking a clear 'Shop All' option.","The hero CTAs 'SHOP MEN' and 'SHOP WOMEN' are gender-specific, potentially alienating non-binary or gender-neutral shoppers and lacking a clear 'Shop All' option.",h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN / SHOP ALL; notes: Add a neutral 'Shop All' CTA to the hero to accommodate all users and reduce friction for those not ready to choose a gender.,"Hero section contains 'SHOP MEN' and 'SHOP WOMEN' CTAs, but no 'Shop All' CTA in the hero; 'Shop All' appears in nav but not as a hero CTA.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_hero_cta_ambiguity.html
8,Hidden cost: shipping threshold,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page shows a $10 price but does not disclose the $5 shipping fee or the $100 free-shipping threshold, creating a hidden cost that may trigger cart abandonment.","The product page shows a $10 price but does not disclose the $5 shipping fee or the $100 free-shipping threshold, creating a hidden cost that may trigger cart abandonment.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display 'Free shipping on orders over $100' near the price or add-to-cart button to set expectations upfront.,"Price: '$10' (from prices array). Body sample on homepage: 'Spend more to earn free shipping! Shipping $5.00' | Body sample: 'Free ground shipping on orders over $100' appears only in the top announcement bar, while the hero copy 'Wildly Comfortable. Super Natural.' and CTAs 'SHOP MEN' / 'SHOP WOMEN' make no mention of the threshold.","Funnel-Path & Commerce Clarity, Pricing Transparency",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_8_hidden_cost_shipping_threshold.html
9,Out-of-stock notification form,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, indicating the product is out of stock, but the form may lack trust signals or a clear restock timeline, potentially losing interested customers.","The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, indicating the product is out of stock, but the form may lack trust signals or a clear restock timeline, potentially losing interested customers.","h1: Anytime Ankle Sock; cta: Get Notified When Back in Stock; notes: Add an estimated restock date or a small incentive (e.g., free shipping on next order) to encourage sign-ups.","The product page CTAs include 'Get Notified' and 'Learn More', and the page has a form with 1 input and submit 'Get Notified'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_out_of_stock_notification_form.html
10,No guarantee near CTA,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"The product page lacks a visible guarantee or return policy near the add-to-cart button, leaving purchase hesitation unaddressed.","The product page lacks a visible guarantee or return policy near the add-to-cart button, leaving purchase hesitation unaddressed.",h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a line under the CTA: 'Free shipping & returns. 30-day guarantee.',Product page shows 'Get Notified' CTA (likely out of stock) and 'Learn More' but no guarantee or return policy text near the CTA; trust signals are not evident in the captured body sample.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_no_guarantee_near_cta.html
